"ID","Platform","Type","Location","Status","Amount","Currency","InternalTesting"
"2732-6814-8859-8119","LeapPad3 Explorer","French Canada Virtual codes for French App Center","Australia","Available","10.0","CAD","Y"
"7478-0390-9252-7916","LeapPad3 Explorer","French Canada Virtual codes for French App Center","Australia","Available","10.0","CAD","Y"
"4927-3425-6571-4415","LeapPad3 Explorer","French Canada Virtual codes for French App Center","Australia","Available","10.0","CAD","Y"
"2147-1676-7564-5219","LeapPad3 Explorer","French Canada Virtual codes for French App Center","Australia","Available","10.0","CAD","Y"
"2730-5957-5322-0419","LeapPad3 Explorer","French Canada Virtual codes for French App Center","Australia","Available","10.0","CAD","Y"
"6749-6756-7872-5211","LeapPad3 Explorer","French Canada Virtual codes for French App Center","Australia","Available","10.0","CAD","Y"
"0743-7328-9463-0714","LeapPad3 Explorer","French Canada Virtual codes for French App Center","Australia","Available","10.0","CAD","Y"
"6414-6071-4794-6411","LeapPad3 Explorer","French Canada Virtual codes for French App Center","Australia","Available","10.0","CAD","Y"
"3059-6061-8709-7215","LeapPad3 Explorer","French Canada Virtual codes for French App Center","Australia","Available","10.0","CAD","Y"
"0539-2145-6162-7313","LeapPad3 Explorer","French Canada Virtual codes for French App Center","Australia","Available","10.0","CAD","Y"
